Date,Open,High,Low,Close,Adj Close,Volume
11-02-2022,1764,1774.900024,1743.349976,1764.300049,1763.550415,1196002
14-02-2022,1736.300049,1737.900024,1653,1663.949951,1663.24292,1919476
15-02-2022,1636,1751.400024,1627.849976,1744.25,1743.508789,2261554
16-02-2022,1744.25,1776,1730,1738.099976,1737.36145,1663614
17-02-2022,1750,1762,1724,1730.949951,1730.214478,1075487
18-02-2022,1739,1754.599976,1725,1736.300049,1735.562256,945100
21-02-2022,1738.800049,1738.800049,1671.300049,1685.199951,1684.483887,1449291
22-02-2022,1636.099976,1678.900024,1630,1667.699951,1666.991333,1717579
23-02-2022,1682,1717.5,1670,1688.699951,1687.982422,1285012
24-02-2022,1626,1648.599976,1528.800049,1543.949951,1543.293945,2798065
25-02-2022,1594,1638.099976,1578.800049,1618.699951,1618.012085,1741584
28-02-2022,1603.75,1651.099976,1592.25,1644.449951,1643.751221,1869037
02-03-2022,1638,1664.25,1615.5,1641.800049,1641.102417,1249817
03-03-2022,1670,1678.199951,1634.949951,1643.800049,1643.101563,1333325
04-03-2022,1621.800049,1655.5,1601.199951,1615,1614.313721,1433490
07-03-2022,1590,1592,1539.300049,1564.050049,1563.385498,1508821
08-03-2022,1574.900024,1607.400024,1553.400024,1601.599976,1600.919434,1396347
09-03-2022,1609.599976,1669.949951,1608,1656.550049,1655.846191,1498176
10-03-2022,1682,1749.599976,1678.25,1742.849976,1742.109375,2294474
11-03-2022,1750,1757,1721.199951,1734.099976,1733.363159,1354129
14-03-2022,1732,1752.449951,1722.449951,1736.099976,1735.362305,659190
15-03-2022,1740,1754.199951,1686.650024,1701.400024,1700.677002,1085901
16-03-2022,1724,1764,1718.650024,1758,1757.25293,1269866
17-03-2022,1775.599976,1823.599976,1760,1819.650024,1818.876831,2392329
21-03-2022,1836.050049,1841.900024,1796.150024,1802.949951,1802.183838,1081052
22-03-2022,1802.949951,1837,1790,1831.550049,1830.771729,964066
23-03-2022,1848.050049,1848.050049,1800.849976,1811,1810.230469,1553366
24-03-2022,1815,1839.550049,1800.150024,1832.800049,1832.02124,1030145
25-03-2022,1835.550049,1878,1822,1867,1866.206665,1366115
28-03-2022,1876.900024,1924.400024,1851.050049,1909.699951,1908.888428,1895438
29-03-2022,1919.25,1930.900024,1885.5,1917.25,1916.435303,1715098
30-03-2022,1927.699951,2015,1917.300049,1995.25,1994.402222,3215951
31-03-2022,2005,2042,1991,2014.75,2013.893921,2786973
01-04-2022,2018,2049,2013.050049,2043.650024,2042.781616,1267111
04-04-2022,2050,2075.5,2032,2065.850098,2064.972168,1334265
05-04-2022,2078,2189.800049,2067.600098,2139.850098,2138.940918,4970260
06-04-2022,2153.75,2182.850098,2124.199951,2160,2159.082275,2259018
07-04-2022,2165.949951,2214.949951,2081.25,2099.050049,2098.158203,3499044
08-04-2022,2115,2176,2105.25,2170.949951,2170.027588,1924054
11-04-2022,2181.850098,2200,2158.5,2180.199951,2179.273438,1615715
12-04-2022,2188,2219,2155,2196.949951,2196.016357,2632324
13-04-2022,2210,2217.149902,2173.449951,2199.449951,2198.515381,992512
18-04-2022,2179.800049,2240,2156.75,2233.850098,2232.900879,1747434
19-04-2022,2245,2255,2140.100098,2168.300049,2167.378662,1639219
20-04-2022,2178,2207.949951,2161.899902,2183.949951,2183.021973,1119025
21-04-2022,2216,2293.550049,2203.899902,2286.350098,2285.378662,2243636
22-04-2022,2297,2306,2265,2273.300049,2272.333984,1786042
25-04-2022,2259.949951,2295,2242.600098,2284.199951,2283.229248,1683622
26-04-2022,2297,2413.899902,2295.100098,2395.300049,2394.282227,3199358
27-04-2022,2404.949951,2420.949951,2325,2334.100098,2333.108398,2559876
28-04-2022,2359.850098,2389.899902,2336.300049,2378.550049,2377.539307,1679893
29-04-2022,2389,2394.149902,2301.5,2332,2331.009033,1916180
02-05-2022,2325,2362.300049,2311,2339.5,2338.505859,1006544
04-05-2022,2358.699951,2362.899902,2233.050049,2253.800049,2252.842285,1744686
05-05-2022,2270,2303.800049,2236,2255.399902,2254.44165,1636796
06-05-2022,2210,2262,2200,2247.699951,2246.744873,1161579
09-05-2022,2229.5,2244.199951,2180,2197.649902,2196.716064,1450886
10-05-2022,2190,2220,2097.5,2109.5,2108.603516,1471866
11-05-2022,2109.600098,2157.75,2077,2119.300049,2118.399414,1397917
12-05-2022,2103,2113.600098,2011.050049,2045.199951,2044.330933,1553685
13-05-2022,2084.5,2135,2035.300049,2054.149902,2053.2771,1547617
16-05-2022,2082.649902,2141.949951,2057.649902,2105.899902,2105.005127,1742552
17-05-2022,2133.050049,2192.25,2119.399902,2184.850098,2183.921631,1061085
18-05-2022,2199.699951,2216.899902,2172,2181.100098,2180.17334,1296983
19-05-2022,2145,2154.75,2097.600098,2114.75,2113.851318,986930
20-05-2022,2159,2232.399902,2151,2219.550049,2218.606934,1444803
23-05-2022,2231.75,2245,2155.649902,2170.649902,2169.727539,1455450
24-05-2022,2161,2178.899902,2142.550049,2160.199951,2159.281982,1008943
25-05-2022,2168,2181.449951,2066.199951,2074.149902,2073.268555,1382448
26-05-2022,2077,2088,1906.199951,2046.400024,2045.530518,4967514
27-05-2022,2080,2094.300049,2047.699951,2080.149902,2079.266113,1354005
30-05-2022,2120,2175,2102,2165.649902,2164.729736,1384584
31-05-2022,2160,2225.800049,2150.399902,2167.550049,2166.628906,2861556
01-06-2022,2169.949951,2189.300049,2126,2150.899902,2149.98584,1448212
02-06-2022,2155,2218,2142.300049,2209.399902,2208.461182,1855167
03-06-2022,2235,2242.25,2176.050049,2190,2189.069336,1651685
06-06-2022,2188.5,2230,2168.199951,2225.050049,2224.104492,1664487
07-06-2022,2210,2254.699951,2207.050049,2227.550049,2226.603516,2046676
08-06-2022,2244.949951,2244.949951,2158.550049,2177.199951,2176.274902,1530739
09-06-2022,2160.300049,2224,2155,2219.199951,2218.25708,1440385
10-06-2022,2190,2215,2171,2203.100098,2202.164063,1305761
13-06-2022,2172.5,2172.5,2066.75,2079.75,2078.866211,1764172
14-06-2022,2274,2274,2053.100098,2196.449951,2195.516602,6515102
15-06-2022,2218.399902,2219.699951,2174.199951,2184.600098,2183.671875,1313510
16-06-2022,2205,2217.300049,2076.050049,2083,2082.11499,2131789
17-06-2022,2062,2137.399902,2060.149902,2095.800049,2094.909424,2280135
20-06-2022,2107.300049,2123.300049,2025,2079.850098,2078.966309,2603594
21-06-2022,2100,2177,2091.649902,2161.800049,2160.881348,1331500
22-06-2022,2149.949951,2149.949951,2077.100098,2089.199951,2088.312256,1774137
23-06-2022,2105,2128,2080,2110.350098,2109.453369,1026783
24-06-2022,2121,2168,2108.600098,2161.449951,2160.531494,1156536
27-06-2022,2189,2211,2169.350098,2181.600098,2180.673096,1202504
28-06-2022,2170,2210.25,2160,2204.600098,2203.66333,1282047
29-06-2022,2185,2247.800049,2177.199951,2220.100098,2219.156738,1692493
30-06-2022,2220,2248.5,2180.5,2190.899902,2189.968994,1568415
01-07-2022,2189.899902,2242,2138.25,2232.199951,2231.251465,2141743
04-07-2022,2232.199951,2277,2228.350098,2261.850098,2260.888916,1581159
05-07-2022,2264,2290.699951,2238,2246.449951,2245.495361,1356776
06-07-2022,2245,2277,2236.5,2272.850098,2271.884277,1045463
07-07-2022,2280,2294.949951,2256,2274.300049,2273.33374,946131
08-07-2022,2286,2303.600098,2263.899902,2293.050049,2292.075684,898576
11-07-2022,2293.050049,2384.600098,2291.050049,2373.25,2372.241455,1967308
12-07-2022,2364.399902,2389.800049,2350.149902,2365.649902,2364.644775,1273008
13-07-2022,2373.5,2384.649902,2333.699951,2353.5,2352.5,982185
14-07-2022,2365,2404,2336.5,2383.100098,2383.100098,933554
15-07-2022,2414.5,2422.949951,2377,2405.25,2405.25,1169788
18-07-2022,2424,2441.850098,2406.050049,2423.600098,2423.600098,937204
19-07-2022,2406.949951,2459.300049,2405,2451.300049,2451.300049,843301
20-07-2022,2462,2472.800049,2444,2451.100098,2451.100098,693601
21-07-2022,2453.800049,2498.949951,2451.25,2495.5,2495.5,1314165
22-07-2022,2505.5,2514.050049,2483.100098,2499.399902,2499.399902,833522
25-07-2022,2505,2562.149902,2500,2550.600098,2550.600098,1220351
26-07-2022,2555,2568.600098,2533,2559.699951,2559.699951,865142
27-07-2022,2560,2572.5,2528,2548.699951,2548.699951,953588
28-07-2022,2559.899902,2565.649902,2531.600098,2550.399902,2550.399902,759442
29-07-2022,2565,2622,2560,2569.199951,2569.199951,1107195
01-08-2022,2575.850098,2669.399902,2569.199951,2660.149902,2660.149902,1267039
02-08-2022,2660,2697,2640,2683.649902,2683.649902,1096480
03-08-2022,2685,2717,2671.199951,2711.399902,2711.399902,815831
04-08-2022,2725,2743.899902,2684.25,2723.600098,2723.600098,1223799
05-08-2022,2760,2767.649902,2685,2698.399902,2698.399902,1639981
08-08-2022,2700,2807.649902,2695.649902,2791.899902,2791.899902,1581696
10-08-2022,2801.75,2834.899902,2781.550049,2827.199951,2827.199951,1304663
11-08-2022,2841,2848.399902,2815.100098,2834.050049,2834.050049,978616
12-08-2022,2840,2871.149902,2834.050049,2864.550049,2864.550049,843025
16-08-2022,2879,2986,2871,2975.850098,2975.850098,1969492
17-08-2022,2986,3028.550049,2980,3008.649902,3008.649902,1510171
18-08-2022,3005,3186,3004,3153.649902,3153.649902,3502295
19-08-2022,3178,3258.899902,3075.25,3130.199951,3130.199951,6109949
22-08-2022,3134,3191.800049,3029.199951,3051.600098,3051.600098,3473580
23-08-2022,3032.649902,3074,2927.399902,3030.649902,3030.649902,4169136
24-08-2022,3038,3153,2986,3134.649902,3134.649902,3475387
25-08-2022,3167,3177.800049,3055.699951,3066.350098,3066.350098,3119494
26-08-2022,3080,3172.949951,3078,3139.550049,3139.550049,2897602
29-08-2022,3055,3166.449951,3037.850098,3142.600098,3142.600098,1924984
30-08-2022,3165,3263.100098,3161,3194.350098,3194.350098,4392183
01-09-2022,3200,3245,3184.399902,3233.25,3233.25,1880363
02-09-2022,3261,3369.399902,3225,3355.800049,3355.800049,4835905
05-09-2022,3374.100098,3431.800049,3313,3346.550049,3346.550049,3686950
06-09-2022,3370,3447.600098,3355,3435.800049,3435.800049,2580772
07-09-2022,3435.800049,3487.949951,3406.100098,3473.75,3473.75,2188110
08-09-2022,3499,3501.5,3450,3462.800049,3462.800049,1560414
09-09-2022,3479,3507.949951,3415.149902,3451.199951,3451.199951,1614634
12-09-2022,3465,3495.5,3457.899902,3463.800049,3463.800049,1647756
13-09-2022,3478,3568.899902,3421.300049,3555.800049,3555.800049,3479669
14-09-2022,3518,3608,3511,3572.100098,3572.100098,2740337
15-09-2022,3590,3767.949951,3575,3748.699951,3748.699951,4716688
16-09-2022,3755,3866.949951,3614.600098,3702.199951,3702.199951,5687429
19-09-2022,3718.949951,3801.949951,3680.75,3778.649902,3778.649902,3092486
20-09-2022,3819,3885,3812,3834.550049,3834.550049,3338704
21-09-2022,3837.649902,3862.800049,3571.25,3640.100098,3640.100098,6089846
22-09-2022,3639,3735.949951,3608.050049,3716.300049,3716.300049,3490772
23-09-2022,3732,3737.899902,3655,3674.300049,3674.300049,3001474
26-09-2022,3646.300049,3658,3532,3586.199951,3586.199951,3123908
27-09-2022,3596,3629.550049,3485.850098,3559.100098,3559.100098,3546332
28-09-2022,3528,3596.949951,3503,3548.75,3548.75,2259832
29-09-2022,3583.5,3664.75,3443.600098,3470.699951,3470.699951,15060223
30-09-2022,3447.949951,3523.800049,3371.100098,3455.75,3455.75,4307707
03-10-2022,3440,3460.050049,3110.199951,3157.300049,3157.300049,7578847
04-10-2022,3230,3291.199951,3125,3237.699951,3237.699951,5642467
06-10-2022,3270,3318.800049,3208.050049,3285,3285,2845165
07-10-2022,3280,3310.949951,3228.149902,3277.600098,3277.600098,1930275
10-10-2022,3234,3278.75,3214.350098,3246.25,3246.25,1590792
11-10-2022,3257.550049,3338,3249,3273.949951,3273.949951,2544394
12-10-2022,3297,3297,3145,3223.649902,3223.649902,2972601
13-10-2022,3218,3262.800049,3189,3233.649902,3233.649902,1840193
14-10-2022,3272,3305,3194.850098,3209.5,3209.5,1344415
17-10-2022,3211,3235,3136.100098,3212.600098,3212.600098,1985298
18-10-2022,3249,3298,3226.100098,3284.300049,3284.300049,1635079
19-10-2022,3300,3310,3259.649902,3277.25,3277.25,1396513
20-10-2022,3260,3365,3245,3357.100098,3357.100098,2211287
21-10-2022,3374.899902,3382,3287,3311.899902,3311.899902,1120790
24-10-2022,3325,3340.100098,3287.399902,3309.800049,3309.800049,248249
25-10-2022,3321.949951,3345,3294,3300.5,3300.5,879424
27-10-2022,3319.850098,3355,3297,3325,3325,1106870
28-10-2022,3322,3387.949951,3297.649902,3323.300049,3323.300049,1323334
31-10-2022,3339.949951,3360,3326.100098,3347.449951,3347.449951,575722
01-11-2022,3361.899902,3607.449951,3352,3575.699951,3575.699951,4393335
02-11-2022,3580,3625.149902,3526,3580.699951,3580.699951,2534755
03-11-2022,3550,3614.699951,3542.449951,3590.399902,3590.399902,1275216
04-11-2022,3642,3849.800049,3566.75,3833.25,3833.25,6112097
07-11-2022,3852.449951,4013.699951,3820,3960.600098,3960.600098,5985652
09-11-2022,3977,4048,3943.050049,3997.199951,3997.199951,3732472
10-11-2022,3995,4030,3962.149902,3992.25,3992.25,2313795
11-11-2022,4040,4048.949951,3975.149902,4008.850098,4008.850098,1476875
14-11-2022,3999,4078,3990,4022.550049,4022.550049,1803092
15-11-2022,4025.050049,4065,4022,4057.800049,4057.800049,1065546
16-11-2022,4057.300049,4096,3863.550049,3956.600098,3956.600098,3059841
17-11-2022,3970,4033,3900,4018.149902,4018.149902,2266112
18-11-2022,4028.350098,4043,3984,4019.800049,4019.800049,1440776
21-11-2022,4019.949951,4019.949951,3921.949951,4001.850098,4001.850098,1492003
22-11-2022,4001.850098,4056,3988,4034,4034,1705043
23-11-2022,4050,4061.850098,3873,3903.300049,3903.300049,2861156
24-11-2022,3910,3935,3821,3921.100098,3921.100098,2797181
25-11-2022,3929,3949.899902,3845.300049,3901.100098,3901.100098,2506346
28-11-2022,3899.399902,3925,3871.399902,3886.149902,3886.149902,1119166
29-11-2022,3885,3915,3864.050049,3878.399902,3878.399902,1513444
30-11-2022,3897.800049,3939.899902,3867,3917.899902,3917.899902,1968428
01-12-2022,3937.5,3944.949951,3902.449951,3915.100098,3915.100098,945838
02-12-2022,3905,3963.800049,3885,3922.5,3922.5,1297832
05-12-2022,3928.899902,3939,3810.050049,3930.399902,3930.399902,2392866
06-12-2022,3920,4057,3909,4031.800049,4031.800049,2962621
07-12-2022,4031,4057.899902,3984.550049,3999.300049,3999.300049,1257261
08-12-2022,4010,4045,4003.350098,4025,4025,895075
09-12-2022,4044,4094,3941.5,3996.800049,3996.800049,2129800
12-12-2022,3997,4031.899902,3968.75,4016.699951,4016.699951,802499
13-12-2022,4027.800049,4072,4011.600098,4060.199951,4060.199951,1215308
14-12-2022,4076,4092.050049,4040,4055.800049,4055.800049,1114492
15-12-2022,4055.800049,4073.050049,4025,4043.75,4043.75,866138
16-12-2022,4018.899902,4047.899902,3944.050049,3980.800049,3980.800049,1598960
19-12-2022,3988,4104,3971.449951,4075.300049,4075.300049,1643404
20-12-2022,4095,4172,4066.399902,4165.299805,4165.299805,3778426
21-12-2022,4175,4190,3883.25,3901.949951,3901.949951,3585883
22-12-2022,3948,3948,3817.050049,3868.550049,3868.550049,2879658
23-12-2022,3822,3848,3616.800049,3642.199951,3642.199951,3036157
26-12-2022,3653,3744.899902,3620,3716.75,3716.75,2162662
27-12-2022,3732.449951,3797.899902,3695.050049,3769.649902,3769.649902,1804911
28-12-2022,3756.050049,3825,3745,3797.699951,3797.699951,1377950
29-12-2022,3790,3825,3748.100098,3810.600098,3810.600098,1531692
30-12-2022,3829.699951,3898,3822.050049,3858.350098,3858.350098,1528747
02-01-2023,3870,3874,3822.550049,3841.199951,3841.199951,923051
03-01-2023,3841.899902,3852.850098,3791,3830.949951,3830.949951,799905
04-01-2023,3839,3874.949951,3803.600098,3827.050049,3827.050049,1028377
05-01-2023,3827.050049,3842.399902,3756.899902,3829.800049,3829.800049,997006
06-01-2023,3829,3868.25,3797.050049,3824.25,3824.25,912159
09-01-2023,3843,3880,3811.25,3855.300049,3855.300049,753981
10-01-2023,3859,3862.050049,3555,3646.899902,3646.899902,3595798
11-01-2023,3660,3664.5,3560.100098,3635.800049,3635.800049,2226506
12-01-2023,3642.5,3679,3612,3647.199951,3647.199951,1199785
13-01-2023,3651.199951,3736.050049,3642.199951,3721.149902,3721.149902,1364712
16-01-2023,3720,3739.949951,3600,3619.800049,3619.800049,1863848
17-01-2023,3620,3649.600098,3560.199951,3639.350098,3639.350098,1668381
18-01-2023,3648,3648,3527.100098,3596.699951,3596.699951,3652240
19-01-2023,3470,3537.699951,3426.699951,3463.550049,3463.550049,3696319
20-01-2023,3450,3477.350098,3440.949951,3456.149902,3456.149902,1510258
23-01-2023,3443.050049,3460,3412.550049,3436.350098,3436.350098,974857
24-01-2023,3447.449951,3508,3430,3442,3442,1518123
25-01-2023,3422,3428,3315,3388.949951,3388.949951,3686439
27-01-2023,3335,3346.5,2712,2761.449951,2761.449951,14764368
30-01-2023,2850,3037.550049,2665,2892.850098,2892.850098,20947906
31-01-2023,2980,3073.600098,2906,2973.899902,2973.899902,11568020
01-02-2023,2995,3010.75,1941.199951,2135.350098,2135.350098,13525314
02-02-2023,2348.850098,2348.850098,1494.75,1565.25,1565.25,34474080
03-02-2023,1490,1679.900024,1017.450012,1586.800049,1586.800049,43885579
06-02-2023,1575,1615,1435.199951,1572.699951,1572.699951,19308603
07-02-2023,1571,1962.699951,1525.599976,1802.949951,1802.949951,19188072
08-02-2023,1869.849976,2222.149902,1840.849976,2164.25,2164.25,19173006
09-02-2023,2168,2168,1731.400024,1925.699951,1925.699951,18279862
10-02-2023,1769,1990,1733.150024,1846.949951,1846.949951,11334878
